driverId,name,ssn,location,certified,wage-plan
10,Alyssa Miller,652-24-1395,"449 Montgomery Mills Suite 086
North Nicolemouth, AL 78096",Y,hours
11,Elaine Klein,012-05-5801,"PSC 7586, Box 4764
APO AA 30555",N,miles
12,Jordan Smith,843-24-5475,"4998 Janice Knolls Apt. 056
Ayersport, WV 32865",Y,hours
13,Eric Fleming,794-06-8135,"657 Montes Well Suite 445
South Karenmouth, MA 66619",Y,hours
14,Elaine Thomas,408-81-1448,"Unit 4348 Box 6843
DPO AP 94049",N,hours
15,Alexander Porter,560-97-7970,"683 Jennifer Ports
Tinaton, WI 97608",N,miles
16,Michael Summers,309-37-0303,"1353 Nelson Club
Owenburgh, PR 94517",Y,hours
17,Brian Lee,341-72-3892,"764 Steven Pines
Lake Allisonstad, ID 31060",N,hours
18,Brenda Brown,542-81-1179,"417 Laura Flat Apt. 053
West Jennifer, AS 70202",N,hours
19,Paul Mendoza,878-74-3076,"360 Carolyn Divide
West Garrettland, MS 23935",N,hours
20,Mrs. Terri Ramirez,792-34-8810,"PSC 1495, Box 1469
APO AP 56210",Y,hours
21,Ernest Johnston,210-62-8310,"38559 Philip Unions Apt. 206
Austinville, TN 90026",N,hours
22,Charlotte Phillips,537-65-0012,"7591 Paul Parkway Suite 070
Johnfurt, MH 63293",Y,hours
23,David Campbell,021-97-2679,"926 Amanda Locks
Bishopchester, PR 26231",Y,miles
24,Susan Hogan,389-74-3314,"2756 Laura Drive
Cooperbury, WV 71391",N,hours
25,Kristen Sheppard,360-17-8133,"663 Adams Loop Apt. 219
North Briannaton, MS 43652",N,hours
26,Adam Greene,047-41-5251,"44577 Espinoza Isle
Port Eric, NC 19983",Y,miles
27,Christine Ewing,266-31-0116,"2664 Lisa Ridges
Richardside, WV 16430",N,miles
28,David Mueller,511-72-0546,"427 Frances Village
Loganport, KY 76246",Y,miles
29,Caleb Hayden,040-77-6176,"93915 Brandy Fords
West Nathanside, RI 64756",N,hours
30,Alexandra Hess,550-97-7431,"1135 Devin Canyon Apt. 619
Lake Kimberly, MN 09687",Y,hours
31,Ronald Morgan,619-94-0250,"1645 Peter Camp Apt. 562
Kellerton, MH 16390",N,miles
32,Kimberly Murphy,251-39-3648,"2982 Wendy Vista
Colonland, MT 24759",Y,miles
33,Sarah Hill,744-62-6842,"891 Rebecca Villages
Robertport, ME 51893",N,hours
34,Sandra Ochoa,650-59-5863,"2651 Anthony Junction Suite 429
Robertmouth, MD 97707",N,hours
